Academic Year,Semester,Course,Total Registered,Current Registered,Total Drop,Accepted Drop,Instructor,D+,D,F,A*,A,B+,B,C+,C,E,S,X,0S,18S,27S,36S,9S,16S,4S,8S,12S,45S,36A,18X,18A,W,S^,course title,telegram_file_id
2019-2020,Odd,MTH428A,72,71,1,1,,,5,1,1,17,,29,,18,,,,,,,,,,,,,,,,,,,MATHEMATICAL METHODS,AgACAgUAAyEGAASewoS2AAIZvGgiSOzDXWLHD2vkeVg631uTSTlDAAJfwDEbsCkYVfVyMzsSlezLAQADAgADdwADNgQ
2019-2020,Odd,CHM101A,0,0,0,0,,,,2,,410,,69,,4,,,,,,,,,,,,,,,,,,,CHEMISTRY LABORATORY,AgACAgUAAyEGAASewoS2AAIZvWgiSPIzmU3mi5o5_ZZqLvUngMi8AAJgwDEbsCkYVQABU1y9CquYbQEAAwIAA3cAAzYE
2019-2020,Odd,CHM102A,0,0,0,0,,,2,2,,1,,,,,,,,,,,,,,,,,,,,,,,GENERAL CHEMISTRY,AgACAgUAAyEGAASewoS2AAIZvmgiSPijQ9XBJnCJtcbDzAMqNEv9AAJhwDEbsCkYVXaqMYeTleYtAQADAgADdwADNgQ
2019-2020,Odd,CE603A,62,55,7,7,,,,1,,31,,23,,1,,,,,,,,,,,,,,,,,,,MATHEMATICS FOR CIVIL ENGINEERS,AgACAgUAAyEGAASewoS2AAIZv2giSP5Yp1gXsWJJfwbhM95sVvSWAAJiwDEbsCkYVcmnYMjrGtWnAQADAgADdwADNgQ
2019-2020,Odd,CE361A,120,119,1,1,,,26,3,1,9,,19,,42,19,,,,,,,,,,,,,,,,,,ENGINEERING HYDROLOGY,AgACAgUAAyEGAASewoS2AAIZwGgiSQWVX8gmoF-rCrNPLT69EZr_AAJjwDEbsCkYVRJQk-uTOztrAQADAgADdwADNgQ
2019-2020,Odd,CE371A,126,117,9,9,,,36,3,,5,,26,,42,5,,,,,,,,,,,,,,,,,,DESIGN OF STEEL STRUCTURES,AgACAgUAAyEGAASewoS2AAIZwWgiSQv1l8SC1WsLYD7ZZbAoS1g5AAJkwDEbsCkYVaXrefGn5Rz9AQADAgADdwADNgQ
2019-2020,Odd,ME352A,0,0,0,0,,,10,8,10,30,,32,,27,,,,,,,,,,,,,,,,,,,THEORY OF MECHANISMS & MACHINES,AgACAgUAAyEGAASewoS2AAIZwmgiSRFZKTjoghsAAb9i6X79J8BoQwACZcAxG7ApGFV-oYRRbNzy5QEAAwIAA3cAAzYE
2019-2020,Odd,MBA666A,0,0,0,0,,,,,,8,,17,,,,,,,,,,,,,,,,,,,,,PROJECT MANAGEMENT,AgACAgUAAyEGAASewoS2AAIZw2giSRe_aXIGGxNdXNHNT-x5w0dgAAJmwDEbsCkYVXCQ948LHGcCAQADAgADdwADNgQ
2019-2020,Odd,CHM441A,0,0,0,0,,,1,1,3,9,,18,,7,,,,,,,,,,,,,,,,,,,INORGANIC CHEMISTRY I,AgACAgUAAyEGAASewoS2AAIZxGgiSR2SDvrhHfAyeo69w-IXZlORAAJnwDEbsCkYVZ1-BQ-X_B48AQADAgADdwADNgQ
2019-2020,Odd,MTH434A,42,41,1,1,,,6,5,,13,,9,,8,,,,,,,,,,,,,,,,,,,COMPLEX ANALYSIS,AgACAgUAAyEGAASewoS2AAIZxWgiSSMfKLBWxcCzNW4_4FucBsJsAAJowDEbsCkYVewAAaVLMA51FAEAAwIAA3cAAzYE
2019-2020,Odd,MTH432A,43,42,1,,,,4,2,1,11,,11,,13,,,,,,,,,,,,,,,,,,,INTRODUCTION TO SAMPLING THEORY,AgACAgUAAyEGAASewoS2AAIZxmgiSSluFUb3fbZA_8tmlT_gItNXAAJpwDEbsCkYVVkLek741Q2vAQADAgADdwADNgQ
2019-2020,Odd,MTH433A,42,41,1,1,,,5,2,,10,,9,,15,,,,,,,,,,,,,,,,,,,REAL ANALYSIS,AgACAgUAAyEGAASewoS2AAIZx2giSS_udKTVuUt_4EUlA-yJHcfWAAJqwDEbsCkYVRLT1kMFokzEAQADAgADdwADNgQ
2019-2020,Odd,MTH721A,81,60,21,21,,,12,2,,,,10,,36,,,,,,,,,,,,,,,,,,,COMPUTATIONAL FINANCIAL MATHEMATICS-A PDE APPROACH,AgACAgUAAyEGAASewoS2AAIZyGgiSTXzda_hv2FI6Gi6SHsrT451AAJrwDEbsCkYVQ5-gtFsNEjXAQADAgADdwADNgQ
2019-2020,Odd,ME625A,56,54,2,2,,,2,7,2,15,,21,,7,,,,,,,,,,,,,,,,,,,APPLIED DYNAMICS AND VIBRATIONS,AgACAgUAAyEGAASewoS2AAIZyWgiSTtOq1vYKtSy2Zw27pUzzeVfAAJswDEbsCkYVWl_qoR0PGqwAQADAgADdwADNgQ
2019-2020,Odd,ME630A,44,22,22,22,,,1,,3,1,,12,,5,,,,,,,,,,,,,,,,,,,COMPUTATIONAL FLUID DYNAMICS AND HEAT TRANSFER,AgACAgUAAyEGAASewoS2AAIZymgiSUISfBM6VKCMf1eKTKEcg0ThAAJtwDEbsCkYVZO5HiqF07Q5AQADAgADdwADNgQ
2019-2020,Odd,EE632A,18,18,,,,,,,1,10,,4,,3,,,,,,,,,,,,,,,,,,,ECONOMIC OPERATION & CONTROL OF POWER SYSTEMS,AgACAgUAAyEGAASewoS2AAIZy2giSUgI2b0Lp2RbWHYyDECqjlOUAAJuwDEbsCkYVa9wMXDHkGxGAQADAgADdwADNgQ
2019-2020,Odd,CS654A,38,34,4,4,,,1,,1,17,,9,,6,,,,,,,,,,,,,,,,,,,SOFTWARE ARCHITECTURE,AgACAgUAAyEGAASewoS2AAIZzGgiSU6ljPV_xP0J2AOZ54Dng73aAAJvwDEbsCkYVb_8W2NCQ-iHAQADAgADdwADNgQ
2019-2020,Odd,ME631A,61,58,3,3,,,10,4,,12,,21,,11,,,,,,,,,,,,,,,,,,,VISCOUS FLOW THEORY,AgACAgUAAyEGAASewoS2AAIZzWgiSVRr4dDe9pspBRTphyZvh6C3AAJwwDEbsCkYVdAMEnWbujmKAQADAgADdwADNgQ
2019-2020,Odd,ES454A,22,22,,,,,4,,2,4,,2,,8,2,,,,,,,,,,,,,,,,,,GEOLOGY OF FUELS,AgACAgUAAyEGAASewoS2AAIZzmgiSVrMckiNWii09QFuXEB4zS8-AAJxwDEbsCkYVehv70yVQqFIAQADAgADdwADNgQ
2019-2020,Odd,ME645A,44,38,6,6,,,5,8,1,8,,10,,6,,,,,,,,,,,,,,,,,,,SOLAR ENERGY TECHNOLOGY,AgACAgUAAyEGAASewoS2AAIZz2giSWDLdMUwNUdxxsoPHMUbClojAAJywDEbsCkYVe4GPkFgNSKFAQADAgADdwADNgQ
2019-2020,Odd,CHE352A,0,0,0,0,,,23,6,,7,,19,,26,3,,,,,,,,,,,,,,,,,,CHEMICAL PROCESS SIMULATION LAB,AgACAgUAAyEGAASewoS2AAIZ0GgiSWb1wbRkxLar8uxneNtyZjxcAAJzwDEbsCkYVTvqFkX1IEseAQADAgADdwADNgQ
2019-2020,Odd,CHE453A,0,0,0,0,,,21,9,,11,,14,,21,,,,,,,,,,,,,,,,,,,CHEMICAL ENGINEERING DESIGN,AgACAgUAAyEGAASewoS2AAIZ0WgiSWy108JD5RP7zCxZgvylaxzXAAJ0wDEbsCkYVXZyldKTfK3rAQADAgADdwADNgQ
2019-2020,Odd,MTH305A,109,107,2,2,,,28,13,1,14,,26,,25,,,,,,,,,,,,,,,,,,,SEVERAL VARIABLE CALCULUS & DEFFERENTIAL GEOMETRY,AgACAgUAAyEGAASewoS2AAIZ0mgiSXMs5pOO4BklmhLQr4FNuHlgAAJ1wDEbsCkYVRthj_HNluBsAQADAgADdwADNgQ
2019-2020,Odd,MTH399A,56,55,1,1,,,,,,,,,,,,55,,,,,,,,,,,,,,,,,TECHNICAL COMMUNICATION SKILLS,AgACAgUAAyEGAASewoS2AAIZ02giSXnMJqtWl2UuzODFScMjbi_DAAJ2wDEbsCkYVTw7HiGRUf39AQADAgADdwADNgQ
2019-2020,Odd,MTH302A,76,71,5,5,,,9,8,2,12,,20,,20,,,,,,,,,,,,,,,,,,,SET THEORY & LOGIC,AgACAgUAAyEGAASewoS2AAIZ1GgiSX8xoLz1I4hSoUj0Ahc_8_LWAAJ3wDEbsCkYVTWcI1QCkjIcAQADAgADdwADNgQ
2019-2020,Odd,MTH430A,45,45,,,,,9,,2,9,,20,,5,,,,,,,,,,,,,,,,,,,NUMERICAL ANALYSIS & SCIENTIFIC COMPUTING II,AgACAgUAAyEGAASewoS2AAIZ1WgiSYV5YvlOLDSaWoVenapMqAdJAAJ4wDEbsCkYVVG4ongdyPc_AQADAgADdwADNgQ
2019-2020,Odd,MTH431A,48,47,1,1,,,6,1,,11,,23,,6,,,,,,,,,,,,,,,,,,,BASIC PROBABILITY & DISTRIBUTION THEORY,AgACAgUAAyEGAASewoS2AAIZ1mgiSYsBt3UAAbEViyzbhnO7UVms_wACecAxG7ApGFULuCxYJeZeowEAAwIAA3cAAzYE
2019-2020,Odd,FA799,11,11,,,,,,,,,,,,,,,,,2,1,8,,,,,,,,,,,,PHD THESIS,AgACAgUAAyEGAASewoS2AAIZ12giSZGlj028RwrilPMdzMVZC7ZWAAJ6wDEbsCkYVW10IFpw3778AQADAgADdwADNgQ
2019-2020,Odd,IDC603A,13,8,5,5,,,,,,,,5,,2,,,1,,,,,,,,,,,,,,,,ENGLISH PROFICIENCY AND SCHOLARLY COMMUNICATION,AgACAgUAAyEGAASewoS2AAIZ2GgiSZff9UQMbT73_rUNIjjAgjJiAAJ7wDEbsCkYVUljAp-YzMrQAQADAgADdwADNgQ
2019-2020,Odd,IME602A,48,46,2,2,,,7,1,,7,,18,,13,,,,,,,,,,,,,,,,,,,PROBABILITY AND STATISTICS,AgACAgUAAyEGAASewoS2AAIZ2WgiSZ1d8pP_tMgnsQjGrCr5jwbQAAJ8wDEbsCkYVYxkNgfx0d8-AQADAgADdwADNgQ
2019-2020,Odd,IME602A,0,0,0,0,,,7,1,,7,,18,,13,,,,,,,,,,,,,,,,,,,PROBABILITY AND STATISTICS,AgACAgUAAyEGAASewoS2AAIZ2mgiSaO76IFv7FScYDlwe9_19H-YAAJ9wDEbsCkYVfGw8adCeh6PAQADAgADdwADNgQ
2019-2020,Odd,IME603A,23,22,1,1,,,,,,6,,9,,7,,,,,,,,,,,,,,,,,,,INTRODUCTION TO COMPUTING,AgACAgUAAyEGAASewoS2AAIZ22giSam0AAHpirqSVbWSWZC5EUcwwgACfsAxG7ApGFUMYPvvYq4xHAEAAwIAA3cAAzYE
2019-2020,Odd,IME603A,0,0,0,0,,,,,,6,,9,,7,,,,,,,,,,,,,,,,,,,INTRODUCTION TO COMPUTING,AgACAgUAAyEGAASewoS2AAIZ3GgiSa9BjPi2X-ElU9xAnDcAAfQEJgACf8AxG7ApGFUJPY716r0QIQEAAwIAA3cAAzYE
2019-2020,Odd,ESO209A,217,211,6,4,,,40,28,,16,,54,,45,28,,,,,,,,,,,,,,,,,,DYNAMICS,AgACAgUAAyEGAASewoS2AAIZ3WgiSbV88eRaKA5U1Dek2DLspl6mAAKAwDEbsCkYVcmC9X_MdUsXAQADAgADdwADNgQ
2019-2020,Odd,CHM683A,19,18,1,1,,,,,2,12,,5,,,,,,,,,,,,,,,,,,,,,"SURFACES, INTERFACES, THIN FILMS & RELATED ANALYTICAL TECHNIQUES",AgACAgUAAyEGAASewoS2AAIZ3mgiSbuhtXHnd870Av6hm47vDdZFAAKBwDEbsCkYVYmM72s7OE83AQADAgADdwADNgQ
2019-2020,Odd,CHM684A,17,13,4,4,,,,,3,2,,7,,1,,,,,,,,,,,,,,,,,,,COMPUTER PROGRAMMING FOR CHEMISTRY,AgACAgUAAyEGAASewoS2AAIZ32giScHdFSMcTmEaarXN9iX35IGFAAKCwDEbsCkYVWASZkeYVp-6AQADAgADdwADNgQ
2019-2020,Odd,CHM685A,8,8,,,,,,,1,1,,6,,,,,,,,,,,,,,,,,,,,,MOLECULE RADIATION INTERACTION,AgACAgUAAyEGAASewoS2AAIZ4GgiScf1zk4-hDqN2cTL61hTn5YvAAKDwDEbsCkYVQHhM4v51tadAQADAgADdwADNgQ
2019-2020,Odd,CHM691A,38,31,7,7,,,,,,11,,10,,10,,,,,,,,,,,,,,,,,,,FRONTIERS IN INORGANIC CHEMISTRY,AgACAgUAAyEGAASewoS2AAIZ4WgiSc4Y2nTYyrwdXSqsmlUMWhRcAAKIwDEbsCkYVSSSsEiY9XXzAQADAgADdwADNgQ
2019-2020,Odd,CHM799,197,197,,,,,,,,,,,,,,,,3,6,4,147,10,27,,3,1,,,,,,,RESEARCH,AgACAgUAAyEGAASewoS2AAIZ4mgiSdRGtL3f5QjE2abWGzZ3FSYtAAKJwDEbsCkYVe-cPHhnu7KWAQADAgADdwADNgQ
2019-2020,Odd,EE492A,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,UNDER GRADUATE PROJECT-IV,AgACAgUAAyEGAASewoS2AAIZ42giSdr2QvIyNx8kiz3j8FWHJxDyAAKKwDEbsCkYVWogrLybOq5MAQADAgADdwADNgQ
2019-2020,Odd,EE601A,10,10,,,,,,,,5,,4,,1,,,,,,,,,,,,,,,,,,,MATHEMATICAL METHODS IN SIGNAL PROCESSING,AgACAgUAAyEGAASewoS2AAIZ5GgiSeBvkwcoPN9ZSRXCh4wQ-XCdAAKLwDEbsCkYVTyM8btIEQi8AQADAgADdwADNgQ
2019-2020,Odd,EE602A,28,25,3,3,,,2,2,1,2,,13,,4,1,,,,,,,,,,,,,,,,,,STATISTICAL SIGNAL PROCESSING-I,AgACAgUAAyEGAASewoS2AAIZ5WgiSeZr_1OGOBbc0tMu-Fvrgz4gAAKMwDEbsCkYVcVOPoSwwwyhAQADAgADdwADNgQ
2019-2020,Odd,MSE699,36,36,,,,,,,,,,,,,,,,4,4,14,14,,,,,,,,,,,,M.TECH THESIS,AgACAgUAAyEGAASewoS2AAIZ5mgiSew42KQyKyq-Rgl5Mj8vvrvNAAKNwDEbsCkYVQgEatlszgnXAQADAgADdwADNgQ
2019-2020,Odd,MSE658A,41,36,5,5,,,3,10,2,7,,12,,2,,,,,,,,,,,,,,,,,,,DISLOCATIONS AND PLASTICITY,AgACAgUAAyEGAASewoS2AAIZ52giSfPM22AnHjQd4hq-8vVAqoB2AAKOwDEbsCkYVQABjhK_XjzXLwEAAwIAA3cAAzYE
2019-2020,Odd,MSE659A,30,27,3,1,,,1,2,1,6,,13,,3,,1,,,,,,,,,,,,,,,,,POWDER METALLURGY,AgACAgUAAyEGAASewoS2AAIZ6GgiSfmLSVCwLJYKD9RSA3rZ07TlAAKPwDEbsCkYVZq3g3hQPuLaAQADAgADdwADNgQ
2019-2020,Odd,MSE664A,24,22,2,2,,,4,1,3,2,,4,,8,,,,,,,,,,,,,,,,,,,SOLID STATE IONICS,AgACAgUAAyEGAASewoS2AAIZ6WgiSf_nGD_fwvc-So-2KILvZxkgAAKQwDEbsCkYVXdNgux0X7I2AQADAgADdwADNgQ
2019-2020,Odd,CHM609A,20,20,,,,,,,1,10,,8,,1,,,,,,,,,,,,,,,,,,,PRINCIPLES OF ORGANIC CHEMISTRY,AgACAgUAAyEGAASewoS2AAIZ6mgiSgWp56qCNQbDp-7se_BtyPw9AAKRwDEbsCkYVQdNoKMH9npLAQADAgADdwADNgQ
2019-2020,Odd,CHM611A,54,54,,,,,,,,21,,33,,,,,,,,,,,,,,,,,,,,,PHYSICAL ORGANIC CHEMISTRY,AgACAgUAAyEGAASewoS2AAIZ62giSgv0SGKvimxEPegY6RlXAseqAAKSwDEbsCkYVQbzUk0dGDBqAQADAgADdwADNgQ
2019-2020,Odd,ECO504A,63,51,12,12,,,36,1,,2,,8,,4,,,,,,,,,,,,,,,,,,,ECONOMIC ANALYSIS OF LAW,AgACAgUAAyEGAASewoS2AAIZ7GgiShFtSvF_DxdjuHYwPx0N8uDUAAKTwDEbsCkYVYW2coNgjU62AQADAgADdwADNgQ
2019-2020,Odd,PSY776A,3,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,SEMINAR COURSE IN PSYCHOLOGY,AgACAgUAAyEGAASewoS2AAIZ7WgiShdnjBYhorS2uLTknv2t9VksAAKUwDEbsCkYVa4Q39mHHWr0AQADAgADdwADNgQ
2019-2020,Odd,PSY789A,7,6,1,1,,,,,,2,,3,,,,1,,,,,,,,,,,,,,,,,LEARNING MEMORY AND COGNITION,AgACAgUAAyEGAASewoS2AAIZ7mgiSh3jkBV2e0MQhmRfNuEtJwMDAAKVwDEbsCkYVSNfvhTCsd5IAQADAgADdwADNgQ
2019-2020,Odd,CHM401A,0,0,0,0,,,5,1,7,11,,17,,3,,,,,,,,,,,,,,,,,,,ORGANIC CHEMISTRY I,AgACAgUAAyEGAASewoS2AAIZ72giSiN6PtNlMpKgKrlY-31kcc0bAAKWwDEbsCkYVWfTsCuwYXoEAQADAgADdwADNgQ
2019-2020,Odd,CHM421A,0,0,0,0,,,1,1,2,8,,13,,15,,,,,,,,,,,,,,,,,,,PHYSICAL CHEMISTRY I,AgACAgUAAyEGAASewoS2AAIZ8GgiSinhyf0kDEE_ICsljCLQwgFLAAKXwDEbsCkYVVwnRi1j3uAxAQADAgADdwADNgQ
2019-2020,Odd,MSE301A,55,54,1,1,,,9,3,,10,,23,,9,,,,,,,,,,,,,,,,,,,PHASE TRANSFORMATIONS,AgACAgUAAyEGAASewoS2AAIZ8WgiSi86oEleWuEOqtdhvFT49Wp0AAKYwDEbsCkYVYh8CZDgDMmlAQADAgADdwADNgQ
2019-2020,Odd,MSE302A,58,58,,,,,11,6,2,11,,14,,14,,,,,,,,,,,,,,,,,,,MECHANICAL BEHAVIOUR OF MATERIALS,AgACAgUAAyEGAASewoS2AAIZ8mgiSjaNY4D3q82sxw2Cx_gWjmZKAAKZwDEbsCkYVfDjXKfnZ8nPAQADAgADdwADNgQ
2019-2020,Odd,ME321A,113,112,1,1,,,5,7,2,26,,43,,29,,,,,,,,,,,,,,,,,,,ADVANCE MECHANICS OF SOLIDS,AgACAgUAAyEGAASewoS2AAIZ82giSjwPjOn0OQnS9Sd3IDWMZ4TvAAKawDEbsCkYVQjkF9nokvGaAQADAgADdwADNgQ
2019-2020,Odd,ECO699,17,15,2,2,,,,,,,,,,,,,,,14,1,,,,,,,,,,,,,M SC THESIS,AgACAgUAAyEGAASewoS2AAIZ9GgiSkJvb81BBT2mb53FKRQybucAA5vAMRuwKRhV7SD3udQrzRwBAAMCAAN3AAM2BA
2019-2020,Odd,ECO732A,12,12,,,,,,,,,,4,,8,,,,,,,,,,,,,,,,,,,ECONOMETRICS,AgACAgUAAyEGAASewoS2AAIZ9WgiSkjSFyxIx7fryj8gYqBPZmx1AAKcwDEbsCkYVRLqj3LKovviAQADAgADdwADNgQ
2019-2020,Odd,ECO737A,11,11,,,,,1,,,2,,2,,6,,,,,,,,,,,,,,,,,,,ADVANCES IN MICROECONOMIC THEORY,AgACAgUAAyEGAASewoS2AAIZ9mgiSk5rJErUOmf2weTX0unozpeAAAKdwDEbsCkYVcR4nG6qxKFuAQADAgADdwADNgQ
2019-2020,Odd,ECO745A,8,8,,,,,,,,5,,2,,1,,,,,,,,,,,,,,,,,,,ADVANCED MONETARY THEORY,AgACAgUAAyEGAASewoS2AAIZ92giSlTvnO6oXH7eSZGiRmddRIDAAAKewDEbsCkYVTTR2hTqNPNLAQADAgADdwADNgQ
2019-2020,Odd,CHE313A,93,93,,,,,17,4,1,26,,21,,17,7,,,,,,,,,,,,,,,,,,MASS TRANSFER & ITS APPLICATIONS,AgACAgUAAyEGAASewoS2AAIZ-GgiSlqXgovwTNLb_ZYY93KeMquLAAKfwDEbsCkYVdwKty0RL0lnAQADAgADdwADNgQ
2019-2020,Odd,CHE349A,6,5,1,1,,,,,,,,,,,,5,,,,,,,,,,,,,,,,,UG PROJECT (UGP-I),AgACAgUAAyEGAASewoS2AAIZ-WgiSmAmPbVCO1R9dzH2U45nKbiRAAKgwDEbsCkYVfbVTYffEglMAQADAgADdwADNgQ
2019-2020,Odd,CE471A,41,38,3,2,,,4,,,5,,13,,12,2,2,,,,,,,,,,,,,,,,,SPECIAL TOPICS IN STRUCTURAL DESIGN,AgACAgUAAyEGAASewoS2AAIZ-mgiSmbEaY7IioBo-QGLFaMgl5aLAAKhwDEbsCkYVUMuOTNO6H8cAQADAgADdwADNgQ
2019-2020,Odd,CE481A,17,14,3,3,,,2,,,2,,6,,4,,,,,,,,,,,,,,,,,,,TRANSPORTATION FACILITIES DESIGN,AgACAgUAAyEGAASewoS2AAIZ-2giSmyjX3bdSXwlE7OvxF8742gTAAKiwDEbsCkYVZnagJOG8ahTAQADAgADdwADNgQ
2019-2020,Odd,CE491A,15,13,2,2,,,,,,8,,2,,3,,,,,,,,,,,,,,,,,,,UNDER GRADUATE RESEARCH -I,AgACAgUAAyEGAASewoS2AAIZ_GgiSnJS3dApRnq5HlwhbAcMOZFhAAKjwDEbsCkYVbJsaQdA4-LZAQADAgADdwADNgQ
2019-2020,Odd,ES799,39,39,,,,,,,,,,,,,,,,2,6,8,18,3,1,,,1,,,,,,,PH D THESIS,AgACAgUAAyEGAASewoS2AAIZ_WgiSngh4EVURvT5MuqKZNGRodjhAAKkwDEbsCkYVTugF5I5DVWMAQADAgADdwADNgQ
2019-2020,Odd,PHY103A,491,487,4,4,,,86,37,5,55,,128,,157,19,,,,,,,,,,,,,,,,,,PHYSICS-II,AgACAgUAAyEGAASewoS2AAIZ_mgiSn7XAsnoDU1_4EfFDAVb3KlIAAKlwDEbsCkYVRkuttaZhladAQADAgADdwADNgQ
2019-2020,Odd,BSE601A,52,52,,,,,,,,,,,,,,52,,,,,,,,,,,,,,,,,PROFESSIONAL COMMUNICATION,AgACAgUAAyEGAASewoS2AAIZ_2giSoQa9k4gHpjaDRhOWtI4s598AAKmwDEbsCkYVV8sZXSnGbe1AQADAgADdwADNgQ
2019-2020,Odd,SOC171C,71,68,3,3,,,13,4,1,15,,18,,17,,,,,,,,,,,,,,,,,,,INTRODUCTORY SOCIOLOGY,AgACAgUAAyEGAASewoS2AAIaAAFoIkqKKtmAxnbSHTomf1tNSF40kgACp8AxG7ApGFXqSRBv_EWThgEAAwIAA3cAAzYE
2019-2020,Odd,VLM603,0,0,0,0,,,,,,12,,24,,3,,,,,,,,,,,,,,,,,,,ADVANCE MATERIALS,AgACAgUAAyEGAASewoS2AAIaAWgiSpDO80tnml7XFartzWZdh1IOAAKowDEbsCkYVd4_slRZrwO1AQADAgADdwADNgQ
2019-2020,Odd,PHY681A,45,39,6,6,,,2,1,,9,,17,,12,,,,,,,,,,,,,,,,,,,QUANTUM FIELD THEORY,AgACAgUAAyEGAASewoS2AAIaAmgiSpZMt2N5tmg4Xyy9jps2cM56AAKpwDEbsCkYVVl91ij7x-8eAQADAgADdwADNgQ
2019-2020,Odd,SOC171A,0,0,0,0,,,18,2,,15,,51,,39,,,,,,,,,,,,,,,,,,,INTRODUCTORY SOCIOLOGY,AgACAgUAAyEGAASewoS2AAIaA2giSpw7PB08zActMu44pvMgLez0AAKqwDEbsCkYVTYGuck0mhQ8AQADAgADdwADNgQ
2019-2020,Odd,VLM602,0,0,0,0,,,,,1,12,,17,,9,,,,,,,,,,,,,,,,,,,SUPPLY CHAIN MANAGEMENT,AgACAgUAAyEGAASewoS2AAIaBGgiSqKCuBPJ-r_7ztdtU8g87WeNAAKrwDEbsCkYVYsSqsr0qFi9AQADAgADdwADNgQ
2019-2020,Odd,PHI753A,1,1,,,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,MODERN LOGIC,AgACAgUAAyEGAASewoS2AAIaBWgiSqjaMP895lxHo6v_SppNVS1nAAKswDEbsCkYVTkuiTTF-3YFAQADAgADdwADNgQ
2019-2020,Odd,PHI755A,0,0,0,0,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,ADVANCED TOPICS IN PHILOSOPHY OF SCIENCE,AgACAgUAAyEGAASewoS2AAIaBmgiSq4Gp0hVWuVudoE8aEzxKD7iAAKtwDEbsCkYVVpx2KKINb2QAQADAgADdwADNgQ
2019-2020,Odd,PHI785A,2,2,,,,,,,,2,,,,,,,,,,,,,,,,,,,,,,,PLATO,AgACAgUAAyEGAASewoS2AAIaB2giSrTTtqicSw9JvAz--PRCKdAiAAKuwDEbsCkYVVV8WeUlyyayAQADAgADdwADNgQ
2019-2020,Odd,PHI799,8,8,,,,,,,,,,,,,,,,1,1,,4,,1,,1,,,,,,,,PHD THESIS,AgACAgUAAyEGAASewoS2AAIaCGgiSrqs3JbfMWCI6jOZUtDucdfnAAKvwDEbsCkYVYvihspGNgeSAQADAgADdwADNgQ
2019-2020,Odd,PHY670A,37,30,7,7,,,6,1,2,3,,7,,11,,,,,,,,,,,,,,,,,,,EVOLUTIONARY GAME DYNAMICS,AgACAgUAAyEGAASewoS2AAIaCWgiSsAFW4q134N_W1hXgiFXp4meAAKwwDEbsCkYVaLu_ZUrK7YaAQADAgADdwADNgQ
2019-2020,Odd,PHY672A,8,7,1,1,,,,,1,3,,2,,1,,,,,,,,,,,,,,,,,,,PHYSICS OF TURBULENCE,AgACAgUAAyEGAASewoS2AAIaCmgiSsZ5-KmSXLQkGjehpNyXtnkNAAKxwDEbsCkYVZQNQEXEaZH2AQADAgADdwADNgQ
2019-2020,Odd,PHY696A,11,11,,,,,,,,9,,2,,,,,,,,,,,,,,,,,,,,,M.SC.RESEARCH PROJECT I,AgACAgUAAyEGAASewoS2AAIaC2giSsz2exCnZtj9ip7mecuPm-nTAAKywDEbsCkYVS6mtIEPQFGWAQADAgADdwADNgQ
2019-2020,Odd,PHY698A,11,11,,,,,,,,8,,3,,,,,,,,,,,,,,,,,,,,,M.SC.RESEARCH PROJECT I,AgACAgUAAyEGAASewoS2AAIaDGgiStLt79C_3QW57qRZXX_198SGAAKzwDEbsCkYVTgbzr7-lfNPAQADAgADdwADNgQ
2019-2020,Odd,PHY799,146,146,,,,,,,,,,,,,,,,3,31,2,98,,14,,2,,,,,,,,RESEARCH,AgACAgUAAyEGAASewoS2AAIaDWgiSth1VGvwckGzdZFZbhX-_C5iAAK0wDEbsCkYVcGBKhLp1hcTAQADAgADdwADNgQ
2019-2020,Odd,PHY556A,7,7,,,,,,,,6,,1,,,,,,,,,,,,,,,,,,,,,BACHLOR OF SCIENCE PROJECT -II,AgACAgUAAyEGAASewoS2AAIaDmgiSt7w3BlWYBgq-Q_CNjtKKLdWAAK1wDEbsCkYVemnY8m1a2DtAQADAgADdwADNgQ
2019-2020,Odd,PHY563A,33,33,,,,,,,,20,,11,,2,,,,,,,,,,,,,,,,,,,M.SC. PROJECT I,AgACAgUAAyEGAASewoS2AAIaD2giSuQJGS8S5YR62GgeYHVOsRtZAAK2wDEbsCkYVS81P3EqAhDmAQADAgADdwADNgQ
2019-2020,Odd,PHY565A,33,33,,,,,,,,10,,18,,5,,,,,,,,,,,,,,,,,,,M.SC. PROJECT II,AgACAgUAAyEGAASewoS2AAIaEGgiSurYUer3jKcppbhodJQCdiEtAAK3wDEbsCkYVRWw4UoGq7fFAQADAgADdwADNgQ
2019-2020,Odd,PHY590A,1,1,,,,,,,,1,,,,,,,,,,,,,,,,,,,,,,,SPECIAL TOPICS IN PHYSICS,AgACAgUAAyEGAASewoS2AAIaEWgiSvBuJ5oce0Lkr2Ct6WThdEicAAK4wDEbsCkYVRzOCylfkZsEAQADAgADdwADNgQ
2019-2020,Odd,PHY596A,3,3,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,M.SC.RESEARCH PROJECT I,AgACAgUAAyEGAASewoS2AAIaEmgiSvZjKSrYYkd_xlLZcl4M3wTHAAK5wDEbsCkYVbIFvQJrUAKAAQADAgADdwADNgQ
