Academic Year,Semester,Course,Total Registered,Current Registered,Total Drop,Accepted Drop,Instructor,D+,D,F,A*,A,B+,B,C+,C,E,S,X,0S,18S,27S,36S,9S,16S,4S,8S,12S,45S,36A,18X,18A,W,S^,course title,telegram_file_id
2024-2025,Odd,ESO213,227,224,3,3,Ishwar Kumar Cukkemane,18,6,8,2,14,36,49,51,38,1,,,,,,,,,,,,,,,,,,FUNDAMENTALS OF EARTH SCIENCES,AgACAgUAAyEGAASewoS2AAMnaCGoua97BjC6yyGkit9mvNFdn08AAtPCMRuwKRBVm2BGdn8Ct3sBAAMCAAN3AAM2BA
2024-2025,Odd,ESO225,95,93,2,2,Shikhar  Misra,7,7,6,1,17,11,24,8,12,,,,,,,,,,,,,,,,,,,INTRODUCTION TO MATERIALS SCIENCE AND ENGINEERING,AgACAgUAAyEGAASewoS2AAMoaCGovxl62cfq0PEAAWbuzEhiIzgmAALUwjEbsCkQVe8WknrUddH0AQADAgADdwADNgQ
2024-2025,Odd,PE111,1236,1233,3,3,INDRA SEKHAR  SEN,,,,,,,,,,,1212,20,,,,,,,,,,,,,,,,MORNING EXERCISE,AgACAgUAAyEGAASewoS2AAMpaCGoxdjFTJpQHM1UZg-chLGsgfEAAtXCMRuwKRBV0ZQkWH0QYVcBAAMCAAN3AAM2BA
2024-2025,Odd,ME341A,9,9,,,Aditya    Saurabh,,,,,,,1,2,6,,,,,,,,,,,,,,,,,,,HEAT & MASS TRANSFER,AgACAgUAAyEGAASewoS2AAMqaCGoyzXYoi7vQfQUWUmGrWbdyjEAAtfCMRuwKRBVDUtdvQmsykkBAAMCAAN3AAM2BA
2024-2025,Odd,ME321,0,0,0,0,P  VENKITANARAYANAN,23,29,6,1,5,10,17,31,28,,,,,,,,,,,,,,,,,,,ADVANCED MECHANICS OF SOLIDS,AgACAgUAAyEGAASewoS2AAMraCGo0SYEM1kZUjN7ahJlKAr0zzkAAtjCMRuwKRBVsygiWB_ubXYBAAMCAAN3AAM2BA
2024-2025,Odd,ME340,19,15,4,4,Pranav Ramkrishna Joshi,3,1,1,1,2,2,1,2,2,,,,,,,,,,,,,,,,,,,INTRODUCTION TO REFRIGERATION AND AIR CONDITIONING,AgACAgUAAyEGAASewoS2AAMsaCGo18XG6lIj9OsUNj2Rc3wW1S0AAtnCMRuwKRBVD9HrHlZqyIEBAAMCAAN3AAM2BA
2024-2025,Odd,ME301,0,0,0,0,Abhishek  Sarkar,7,3,2,6,16,30,41,32,15,3,,,,,,,,,,,,,,,,,,ENERGY SYSTEMS I,AgACAgUAAyEGAASewoS2AAMtaCGo3a7Cc25_F1lEf5YfXptZ9OkAAtrCMRuwKRBVeW1MDpS18z0BAAMCAAN3AAM2BA
2024-2025,Odd,SEE496,3,3,,,DUGCSEE,,,,,3,,,,,,,,,,,,,,,,,,,,,,,UNDER GRADUATE PROJECT I,AgACAgUAAyEGAASewoS2AAMuaCGo41HrQAKjCyA3vJYJfgnmSM0AAtvCMRuwKRBVvRPNpyyuNGoBAAMCAAN3AAM2BA
2024-2025,Odd,EE630,30,30,,,Swathi  Battula,,,1,,1,4,12,9,3,,,,,,,,,,,,,,,,,,,SIMULATON OF MODERN POWER SYSTEMS,AgACAgUAAyEGAASewoS2AAMvaCGo6fUTTL5zYwIez20mq5ri-NQAAtzCMRuwKRBVR4EK5uG-LS4BAAMCAAN3AAM2BA
2024-2025,Odd,ENG460,77,77,,,SAYAN  CHATTOPADHYAY,1,3,,,8,19,21,13,12,,,,,,,,,,,,,,,,,,,AUTOBIOGRAPHICAL LITERATURE,AgACAgUAAyEGAASewoS2AAMwaCGo8CME8BwJ8mSDz6JiSG5L-b8AAt3CMRuwKRBV7v2C3yjx4qMBAAMCAAN3AAM2BA
2024-2025,Odd,EE390,198,197,1,,A R HARISH,,,,,,,,,,,197,,,,,,,,,,,,,,,,,ELECTRICAL ENGINEERING COMMUNICATION SKILLS,AgACAgUAAyEGAASewoS2AAMxaCGo9iZVis2uApl7wYTuXzT9wrEAAt7CMRuwKRBVT4MUSDhmiOYBAAMCAAN3AAM2BA
2024-2025,Odd,ME762,89,88,1,1,K R Guruprasad,19,10,,,2,5,11,25,15,1,,,,,,,,,,,,,,,,,,INTRODUCTION TO ROBOTICS,AgACAgUAAyEGAASewoS2AAMyaCGo_EPPBuYZlpI77asd8E6ovo8AAt_CMRuwKRBVA1a0mjJFacMBAAMCAAN3AAM2BA
2024-2025,Odd,ECO764,77,67,10,10,WASIM  AHMAD,,,1,1,14,16,28,7,,,,,,,,,,,,,,,,,,,,FINANCIAL ECONOMETRICS,AgACAgUAAyEGAASewoS2AAMzaCGpAl-cQCXdAmPjWcEAAaBNTALGAALgwjEbsCkQVflZhJcbTGAxAQADAgADdwADNgQ
2024-2025,Odd,CE351,156,156,,,ARGHYA  DAS,26,16,5,1,6,6,22,47,27,,,,,,,,,,,,,,,,,,,FOUNDATION DESIGN,AgACAgUAAyEGAASewoS2AAM0aCGpCJyhqccQoOVfpyg99ldOqB4AAuHCMRuwKRBVfuX48kNAJukBAAMCAAN3AAM2BA
2024-2025,Odd,MSE314A,1,1,,,SHOBIT  OMAR,,,,,1,,,,,,,,,,,,,,,,,,,,,,,PROCESS ENGINEERING LABORATORY,AgACAgUAAyEGAASewoS2AAM1aCGpDiwJ_SYMW94HLy41W-ZSAQ8AAuLCMRuwKRBVL3WiO8xnnzEBAAMCAAN3AAM2BA
2024-2025,Odd,MSE302,99,94,5,5,Srinu  Gangolu,8,10,4,,5,2,17,29,19,,,,,,,,,,,,,,,,,,,MECHANICAL BEHAVIOUR OF MATERIALS,AgACAgUAAyEGAASewoS2AAM2aCGpFBdwUz0rJ-J2dE1l0MXT0kcAAuPCMRuwKRBVulAj8w-NhiMBAAMCAAN3AAM2BA
2024-2025,Odd,MSE301,95,95,,,RAJDIP  MUKHERJEE,8,14,4,,13,19,20,9,8,,,,,,,,,,,,,,,,,,,PHASE TRANSFORMATIONS,AgACAgUAAyEGAASewoS2AAM3aCGpGl-mdVntP13SXz206sBg0B8AAuTCMRuwKRBVfhrWZksMTSsBAAMCAAN3AAM2BA
2024-2025,Odd,MSE303,88,73,15,13,ANSHU  GAUR,10,13,12,1,1,6,11,9,9,,,,,,,,,,,,,,,,,,,ELECTRONIC & MAGNETIC PROPERTIES OF MATERIALS,AgACAgUAAyEGAASewoS2AAM4aCGpIHzOX8kUQh0snkfPcjRXRpwAAuXCMRuwKRBVwhJYL7tkT3sBAAMCAAN3AAM2BA
2024-2025,Odd,EE698D,26,26,,,BAQUER  MAZHARI,,,3,1,2,7,10,3,1,,,,,,,,,,,,,,,,,,,SPECIAL TOPICS IN MICROELECTRONICS,AgACAgUAAyEGAASewoS2AAM5aCGpJ6NAnMJtjQ3diF3vJ0fQOHsAAubCMRuwKRBV97uTBN1akR8BAAMCAAN3AAM2BA
